,Title,Datetime,Score,flag_alphachar
752,"Tattoo a W on both butt cheeks, so it says WoW MoM when doing naked cartwheels.",1 month ago,6,1
753,Teachers who can't explain properly make me question everything!,1 month ago,1,1
754,"Technically, national anthems are just country music.",7 months ago,477,1
755,Tequilla probably wont fix your problems but it's worth a shot.,2 months ago,440,1
756,Thank God I'm an atheist,4 months ago,360,1
757,"Thanks for explaining the word “many” to me, it means a lot.",12 months ago,273,1
758,"That cow has 12 nipples, dozen tit?",1 year ago,240,1
759,The Floor and I have an understanding.,11 days ago,9,1
760,The Super Bowl will be LIVe this year.,1 month ago,13,1
761,"The animal park I'm at only has a dog, a real Shih Tzu if you ask me.",24 days ago,6,1
762,The best German sausage is the Wurst,11 days ago,5,1
763,The best Helen Keller jokes are the ones you don't see coming.,1 month ago,18,1
764,"The best thing about Japanese porn is they censor it, so I can watch it with my family.",1 month ago,454,1
765,The biggest downside to being short is that you can't always tell the difference between strep throat and hemorrhoids.,11 months ago,94,1
766,The closest I ever got to a 4.0 in High School was my blood alcohol content.,1 month ago,29,1
767,The closest I've come to murder is holding Oreos under the milk until the bubbles stop.,6 months ago,268,1
768,The darkest time of my life was when I couldn't afford my electric bill,1 month ago,91,1
769,The difference between Capitalism and Communism,1 month ago,4,1
770,The difference between an alcoholic and a drunk is staggering.,3 months ago,273,1
771,The duck went from smoking meth to quack,4 days ago,8,1
772,The dyslexic devil worshipper sold his soul to santa.,9 months ago,297,1
773,"The early bird gets the worm, but the second mouse gets the cheese.",9 months ago,42,1
774,The easiest time to add insult to injury is when you’re signing somebody’s cast,1 year ago,245,1
775,"The easiest way to tell the difference between an alligator and a crocodile, is to pay attention to who who you see later, and who you see in a while.",3 months ago,396,1
776,"The first time I bought a universal remote control, i thought to myself, ""Now this changes everything!""",1 year ago,323,1
777,"The gender of an ant can be determined by throwing it into a puddle of water; if it sinks it's a girl ant, if it floats it's a boy ant.",2 years ago,226,1
778,The human brain is awesome. It functions 24/7 from the moment we are born and only stops working when you're taking an exam,10 months ago,397,1
779,"The inventor of the anagram has died, may he ""erect a penis.""",1 year ago,292,1
780,"The last thing my grandfather said to me before he kicked the bucket was "" Hey, how far do you think I can kick this bucket?""",6 months ago,319,1
781,The last time someone was interested in my body was when I filled out my organ donor card.,6 days ago,19,1
782,The mermaid went to math class wearing her algae bra,7 months ago,293,1
783,The most convenient time to add insult to injury is when you’re signing someone’s cast.,3 months ago,345,1
784,The movie castaway was just a really long fedex commercial,8 months ago,76,1
785,The number of virus cases has risen so much in my state that even strippers and hookers are required to work from home.,6 hours ago,1,1
786,"The only ""B word"" I'll ever call my bitch is beautiful",7 months ago,550,1
787,The only reason I go the extra mile is because I missed my off-ramp.,8 months ago,325,1
788,The only thing harder than brainwashing someone is convincing someone that they’ve been brainwashed.,2 months ago,3,1
789,"The only time the word ""incorrectly"" isn’t spelled incorrectly is when it’s spelled incorrectly",2 months ago,77,1
790,"The only time the word ""incorrectly"" isn’t spelled incorrectly is when it’s spelled incorrectly.",2 years ago,504,1
791,"The opera's closed because of that damned virus, so I'll have to make do with Placebo Domingo.",2 days ago,2,1
792,"The person that named a blowjob a blowjob had one job, and they blew it.",2 months ago,23,1
793,"The person who coined ""one hit wonder"" probably didn't come up with any other popular phrases.",3 months ago,510,1
794,"The person who proof read Hitler's speeches, was the original grammar Nazi.",8 months ago,573,1
795,"The police say that they burn all the weed they confiscate, so that would explain the doughnuts.",1 year ago,239,1
796,The race to Finland isn’t over until you cross the Finnish line.,5 months ago,327,1
797,The reason I’m such a Joker is that I’ve never really been comfortable in a Suit.,26 days ago,7,1
798,The reason watches are often given as gifts upon retirement is that there’s no present like the time.,1 month ago,197,1
799,"The research assistant, studying the effects of THC on shorebirds, was quite thorough in his duties - in fact he left no tern unstoned.",4 months ago,207,1
800,The right to be heard does not automatically include the right to be taken seriously.,25 days ago,7,1
801,The safest place to be during an earthquake would be in a stationary store.,3 days ago,10,1
802,"The semi-colon is the half-ass of punctuation; if you want the whole ass, you have to put a colon there",2 months ago,7,1
803,The share button on reddit should be called spreddit,1 year ago,883,1
804,The shovel is groundbreaking technology.,2 months ago,19,1
805,The soft tissue between a shark's teeth is sometimes just a slow swimmer.,3 days ago,11,1
806,The substance on the inside of a fire hydrant is H2O; whereas on the outside it's K9P.,5 months ago,31,1
807,The urge to sing the Lion Sleeps Tonight is only a whim away,2 months ago,7,1
808,"The whole world should be worried that North Korea has a missile that can hit New York, because if it can make it there, it can make it anywhere.",1 year ago,314,1
809,The wife says I have no respect for her privacy. At least that's what she wrote in her diary.,11 days ago,16,1
810,The word on the street is Graffiti,28 days ago,411,1
811,The word swims upside down is still swims.,11 months ago,234,1
812,"The world is half-full of pessimists, or half-empty depending on how you look at it.",2 months ago,310,1
813,"There are actually 8 dwarves in Snow White, but Kinky was left out of the film because he was a bit tied up during recording",7 months ago,386,1
814,"There are so many things I like about horses, but my favorite is all that hair running down their neck — that’s the mane thing.",1 month ago,6,1
815,There are two types of people in this world:1.those who can extrapolate from missing information,1 month ago,32,1
816,There is no level of trust equal to that of cannibals giving each other oral sex.,1 month ago,357,1
817,There is no you in young,1 day ago,0,1
818,There is no “I” in denial.,1 year ago,401,1
819,There's a reason you're Robin and not Batman.,13 days ago,1,1
820,There's a time and place for spontaneity.,1 month ago,36,1
821,There's actually only one Bernie Sanders bumper sticker and we all take turns sharing it.,1 month ago,11,1
822,There's no i in denial,1 month ago,37,1
823,"There's only one thing I don't like about halloween, which is..",8 months ago,29,1
824,"There's plenty of fish in the sea, but until I catch one, I'm stuck here just holding my rod.",2 months ago,365,1
825,"There's two types of people in this world, one is able to draw conclusions from incomplete information.",1 year ago,216,1
826,There’s a contortionist from the Philippines known as the Manilla Folder.,1 month ago,238,1
827,There’s no i in team but there’s a u in cunt,1 year ago,270,1
828,There’s no “i” in denial.,2 months ago,144,1
829,These black hole articles just keep sucking me in!,11 months ago,244,1
830,These coronavirus jokes are really going viral.,4 days ago,16,1
831,"They asked if i bartend, no, but i bar attend.",1 month ago,3,1
832,"They call me ALF, cause I’ll eat your pussy.",1 month ago,2,1
833,They need to install better doors in the space of possibilities cuz theres too many things you can get into but cant get out of,1 month ago,1,1
834,"They say a picture is worth a thousand words, but if your word ain't worth a dime, that puts an upper bound on your picture of $100.",9 days ago,485,1
835,"They say dogs are man’s best friend, but even my worst enemy wouldn’t look me in the eye while pooping on my carpet.",8 months ago,44,1
836,They wanted me to join their war but Iran.,2 months ago,183,1
837,"They’re not inbred, they’re just genetically recursive.",1 month ago,3,1
838,This sentence is a lie.,16 days ago,6,1
839,"This sub is disappointing me lately, so I'm going to try the meatball next time.",1 year ago,283,1
840,This year I'm going to do Dry January and see if I can manage an entire month without any foreplay.,2 months ago,237,1
841,This year International Women’s day is only 23 hours because of Daylight Savings. I expect better in 2020.,10 days ago,5,1
842,Those 'Make A Wish' kids are so lucky.,14 days ago,4,1
843,Time flies when you throw an alarm clock across the room,1 month ago,15,1
844,"Time's fun when you're having flies, Kermit said",1 month ago,244,1
845,Title,Datetime,0,1
846,"To all the people out there suffering with paranoia just remember, you're not alone.",11 months ago,542,1
847,"To be fair, I should stay out of the sun",3 months ago,287,1
848,"To be frank, I'd have to change my name.",1 month ago,709,1
849,To be or not to be a horse rider. That is equestrian.,6 months ago,263,1
850,"To quit smoking, I only smoke after every meal. I am down to 40 meals a day.",2 years ago,232,1
851,"To spell panda, you only need P and A.",1 year ago,327,1
852,"To the guy who invented the number zero, thanks for nothing.",8 months ago,522,1
853,"To the guy who invented zero, thanks for nothing!",3 months ago,486,1
854,To the idiot who stole my antidepressants... I hope you're happy now!,2 months ago,19,1
855,"To the man on crutches, dressed in camouflage, who stole my wallet - you can hide, but you can't run.",2 years ago,226,1
856,"To the man wearing a mask while carrying home a box of beer, you're worried about the wrong type of corona killing you.",8 days ago,6,1
857,"To the people who are trying to overcome their paranoia, I'm behind you all the way.",9 months ago,428,1
858,"Today I masturbated twenty five times, can’t believe I pulled it off",1 month ago,38,1
859,Today I saw a broke down short bus.,2 months ago,0,1
860,"Today is Earth Day, and it should also become a day when normal people make fun of Flat Earthers",10 months ago,28,1
861,Tough shit if you do not eat enough fiber.,11 months ago,223,1
862,"True house cleaners aren't just born, they're maid.",7 months ago,350,1
863,"Turned myself into TSA today because of past issues with my mother, but apparently they have a different definition of unaccompanied baggage",1 month ago,7,1
864,Turning on your lights and sirens after losing a drag race is just poor sportsmanship.,1 month ago,502,1
865,"Turns out, birth is the leading cause of death",1 month ago,16,1
866,Two bed bugs fell in love and are getting married in the spring,1 month ago,39,1
867,Uber Eats Driver sounds like a cheesy horror flick.,1 month ago,8,1
868,Unorthodox people are all the same.,22 days ago,5,1
869,Vegans are like Christians: they just wanna save you.,3 days ago,0,1
870,Voting for a woman president is racist to robot presidents,1 month ago,0,1
871,Walking into the drum shop like ‘I’d tap that’,26 days ago,384,1
872,We call my aunt “anti abortion” which is pretty mean cause she’s had 5 abortions,9 months ago,308,1
873,We call the beginning of the day morning because everyone is sad that they have to get out of bed,3 days ago,23,1
874,We dont negotiate with terrorists unless their demands are to take more of your time at the airport,6 months ago,142,1
875,We have a shortage of dwarves!,10 days ago,11,1
876,We'll we'll we'll...if it isn't autocorrect,15 days ago,48,1
877,"We're God's roombas - he's let us free to roam, and we suck.",1 year ago,266,1
878,We're about to have a bad spell of wether.,2 years ago,235,1
879,"We're supposed to be on earth to help others, but what the others are here for I don't know.",11 months ago,163,1
880,We’ve got big plans at the architecture firm.,10 days ago,6,1
881,What do you get when you cross a freeway with a refrigerator? Run over,20 days ago,4,1
882,What has 7 arms and sucks?,1 month ago,0,1
883,"What has four letters, occasionally has twelve letters, always has six letters, but never has five letters.",1 month ago,326,1
884,"What's the deal with the 14th of February , it's just a date",1 month ago,5,1
885,"What's the hassle with valentine's day, it's only a date",1 month ago,0,1
886,What?!? You’re from Turks AND Caicos,12 days ago,1,1
887,"When I die, I’d like the word ""Humble"" to be written on my statue.",1 year ago,366,1
888,"When I escaped prison, the ugly security guard just screamed insecure",2 months ago,0,1
889,"When I was young, I used to think earwigs actually lived in your ears, so you can imagine how terrified I was of cockroaches.",1 year ago,396,1
890,"When hanging drywall, it's better to screw it up than to nail it.",1 year ago,227,1
891,"When in doubt, mumble.",1 month ago,2,1
892,"When it comes to finding happiness, I have just about had it.",1 month ago,2,1
893,"When it comes to studying boxing, I’ve been known to hit the books.",5 days ago,296,1
894,"When life gives you melons, you're probably dyslexic...",3 months ago,55,1
895,When life gives you melons...,2 months ago,5,1
896,"When life gives you writer's block,",1 year ago,335,1
897,"When someone tells me to stop acting like a flamingo, that’s when I put my foot down.",1 year ago,230,1
898,"When the assassin was hungry, the assassinate.",2 months ago,70,1
899,"When the doctors told me I was bi-polar, I wasn’t sure if I should laugh or cry.",3 months ago,45,1
900,"When the fire alarm went off and my colleague stopped to pick up pliers, I chastised him, “this is not a drill!”",1 year ago,216,1
901,"When the interviewer asked me to, ""Describe myself in three words."", I replied, ""Efficient.""",1 year ago,290,1
902,"When you're given a choice between two different ways to get on a roof, always choose the ladder.",2 months ago,26,1
903,"Whenever I go to the park and someone asks me which child is mine, I like to tell them I'm still deciding.",2 years ago,338,1
904,White boards are remarkable.,2 years ago,246,1
905,Why am I the only naked person at this gender reveal party?,4 months ago,58,1
906,Why do German girls always say their age during sex?,4 months ago,27,1
907,Why is it called a ‘money shot’ and not a ‘baby shower’?,7 months ago,254,1
908,Why is no one ever the right amount of whelmed?,1 year ago,365,1
909,Why was the anti-vaxxer‘s 4 year old child crying? Midlife crisis.,2 months ago,21,1
910,Winter tip: don't make snow angels in dog parks.,1 year ago,267,1
911,"Wish my wife would stop praying and just go to sleep, it's Pastor bedtime",2 months ago,74,1
912,"With all these concerns about germs on hands, I’m getting really tired of opening doors with my mouth...",3 days ago,10,1
913,With great reflexes comes great response ability.,8 months ago,48,1
914,"With the rise of self-driving vehicles, it’s only a matter of time before we get a country song where a guy’s truck leaves him too.",2 years ago,457,1
915,Women do not get enough respect for their ass and titties,3 days ago,7,1
916,Women live longer than men beacuse most of them don’t have a wife.,7 months ago,310,1
917,Women only call me ugly until they find out how much money I make; then they call me ugly and poor.,1 year ago,417,1
918,Women's day,8 days ago,0,1
919,"You can drink lava, but only once.",8 months ago,248,1
920,"You can't run through a camp site. You can only ran, because its past tents.",1 year ago,317,1
921,You can't spell subtext without butt sex,11 months ago,118,1
922,You have to hand it to blind prostitutes.,2 years ago,255,1
923,You know the cure for corona virus? Lyme disease.,1 day ago,0,1
924,"You may not be the dumbest person on Earth, but you better hope he doesn't die.",11 months ago,30,1
925,You mention Botox these days and no even raises an eyebrow.,1 year ago,362,1
926,"You'd be jolly too, if you had a list of all the naughty girls and where they live.",2 months ago,473,1
927,You've got to hand it to blind prostitutes,11 months ago,195,1
928,Youre just a piece of meat to me if Im just a piece of silicon to you,1 month ago,0,1
929,You’ll never be as lazy as whoever named the fireplace.,2 years ago,309,1
933,a coon is black but a tycoon might be white,1 month ago,0,1
934,always thought being an adult would’ve involved more sex,15 days ago,5,1
935,call me the futsal shuffle because are you serious,1 month ago,4,1
936,diet without tea is just die.,2 months ago,6,1
937,dont be an intelligentass,1 month ago,0,1
938,i get extremely offended and downright devastated when people say I don’t handle criticism well,2 months ago,9,1
939,i recently did one of those nude calendars for charity... child line were livid,1 month ago,3,1
940,iTouch Kids: the Apple product that never made it past marketing.,3 months ago,288,1
941,i’m left-handed so my left arm is definitely not the right arm to break,2 months ago,15,1
942,my brother called me from prison and said “hey you know how we finish each other’s sentences?”,9 months ago,25,1
943,never in a million years would I ask a tambourine man to play a song for me,1 month ago,8,1
944,there's a thin line between conspiracy theorists and Chemtrails,16 days ago,4,1
945,“DO NOT TOUCH” must be one of the most terrifying things to read in braille.,1 month ago,988,1
946,"“I haven’t slept for 10 days, because that would be too long.”",3 months ago,33,1
947,"“I stand corrected,” said the man in his orthopedic shoes.",2 years ago,247,1
948,“If Barbie is so popular then how come you have to buy all of her friends?”,14 days ago,24,1
949,“Write a wise saying and your name will live forever. ” —Anonymous.,9 months ago,25,1
950,"‪The trouble with scolding your cat is that when you tell them to knock it off, they generally do.‬",2 days ago,4,1
